### Coverage: PHP files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
| `kunaal-theme\inc\blocks.php` | assets:enqueue, hooks:add_action, hooks:add_filter | CAN-ASSET-001, CAN-PERF-FE-001, CAN-WP-001 |
| `kunaal-theme\inc\interest-icons.php` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\index.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\page.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\page-about.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\page-contact.php` | output:inline_script, sec:escaping | CAN-SEC-ESC-001, CAN-SEC-TPL-001 |
| `kunaal-theme\pdf-generator.php` | hooks:add_action, input:superglobal, output:inline_script, sec:escaping, sec:sanitize | CAN-SEC-ESC-001, CAN-SEC-INPUT-001, CAN-SEC-SAN-001, CAN-SEC-TPL-001, CAN-WP-001 |
| `kunaal-theme\pdf-template.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\single.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\single-essay.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\single-jotting.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\taxonomy-topic.php` | sec:escaping | CAN-SEC-ESC-001 |

### Coverage: JS files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
|---|---|---|
| `kunaal-theme\assets\js\about-page.js` | js:dom_sink, js:fetch, js:intersection_observer, js:resize_listener, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-LISTENER-001, CAN-PERF-FE-NET-001, CAN-PERF-FE-OBS-001, CAN-SEC-JS-DOM-001, CAN-SEC-JS-NET-001 |
| `kunaal-theme\assets\js\components\color-picker.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\assets\js\customizer-preview.js` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\assets\js\editor-sidebar.js` | js:alert, js:fetch, js:window_global | CAN-JS-ARCH-001, CAN-JS-QUAL-002, CAN-PERF-FE-NET-001, CAN-SEC-JS-NET-001 |
| `kunaal-theme\assets\js\lazy-blocks.js` | js:intersection_observer, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-OBS-001 |
| `kunaal-theme\assets\js\main.js` | js:dom_sink, js:fetch, js:intersection_observer, js:resize_listener, js:scroll_listener, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-LISTENER-001, CAN-PERF-FE-NET-001, CAN-PERF-FE-OBS-001, CAN-SEC-JS-DOM-001, CAN-SEC-JS-NET-001 |
| `kunaal-theme\assets\js\presets.js` | js:localStorage, js:window_global | CAN-JS-ARCH-001, CAN-JS-ARCH-002 |
| `kunaal-theme\assets\js\theme-controller.js` | js:localStorage, js:window_global | CAN-JS-ARCH-001, CAN-JS-ARCH-002 |
| `kunaal-theme\blocks\accordion\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\annotation\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\annotation\view.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\argument-map\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\aside\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\assumptions-register\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\causal-loop\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\chart\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\citation\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\confidence-meter\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\context-panel\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\data-map\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\data-map\view.js` | js:console_log, js:setInterval, js:window_global | CAN-JS-ARCH-001, CAN-JS-QUAL-001, CAN-PERF-FE-TIMER-001 |
| `kunaal-theme\blocks\debate\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\debate-side\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\decision-entry\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\decision-log\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\dumbbell-chart\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\dumbbell-chart\view.js` | js:dom_sink, js:window_global | CAN-JS-ARCH-001, CAN-SEC-JS-DOM-001 |
| `kunaal-theme\blocks\flowchart\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\flowchart-step\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\flow-diagram\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\flow-diagram\view.js` | js:dom_sink, js:setInterval, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-TIMER-001, CAN-SEC-JS-DOM-001 |
| `kunaal-theme\blocks\footnote\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\footnote\view.js` | js:dom_sink, js:window_global | CAN-JS-ARCH-001, CAN-SEC-JS-DOM-001 |
