### Coverage: PHP files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
| `reveal-wrapper` | block.json, edit.js, render.php, style.css, view.js | intersection_observer, window_global | CAN-JS-ARCH-001, CAN-PERF-FE-OBS-001 |
| `rubric` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `rubric-row` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `scenario-compare` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `scrolly-step` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `scrollytelling` | block.json, edit.js, render.php, style.css, view.js | intersection_observer | CAN-PERF-FE-OBS-001 |
| `section-header` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `sidenote` | block.json, edit.js, render.php, style.css, view.js | window_global | CAN-JS-ARCH-001 |
| `slopegraph` | block.json, edit.js, render.php, style.css, view.js | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `small-multiples` | block.json, edit.js, render.php, style.css, view.js | window_global | CAN-JS-ARCH-001 |
| `source-excerpt` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `statistical-distribution` | block.json, edit.js, render.php, style.css, view.js | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `takeaway-item` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `takeaways` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `timeline` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `timeline-item` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
